=== TCP1 - Processing Speed Tracker - Discrete Samples ===
Rolling Type	Sample	Parameters#	Regime	LapsedTime
----------------------------------------------------------
Discrete	20	12 SPC Windows	10hz	7.939
Discrete	20	12 SPC Windows	10hz	2.374
Discrete	20	12 SPC Windows	10hz	12.276
Discrete	20	12 SPC Windows	10hz	7.869
Discrete	20	12 SPC Windows	10hz	13.255
Discrete	20	12 SPC Windows	10hz	7.192
Discrete	20	12 SPC Windows	10hz	21.815
Discrete	20	12 SPC Windows	10hz	17.14
Discrete	20	12 SPC Windows	10hz	9.238
Discrete	20	12 SPC Windows	10hz	13.211
Discrete	20	12 SPC Windows	10hz	9.364
Discrete	20	12 SPC Windows	10hz	5.271
Discrete	20	12 SPC Windows	10hz	8.783
Discrete	20	12 SPC Windows	10hz	12.728
Discrete	20	12 SPC Windows	10hz	15.21
Discrete	20	12 SPC Windows	10hz	118.535
Discrete	20	12 SPC Windows	10hz	60.835
Discrete	20	12 SPC Windows	10hz	80.89
Discrete	20	12 SPC Windows	10hz	16.068
Discrete	20	12 SPC Windows	10hz	14.276
Discrete	20	12 SPC Windows	10hz	19.016
Discrete	20	12 SPC Windows	10hz	16.6
Discrete	20	12 SPC Windows	10hz	19.462
Discrete	20	12 SPC Windows	10hz	51.567
Discrete	20	12 SPC Windows	10hz	13.169
Discrete	20	12 SPC Windows	10hz	8.472
Discrete	20	12 SPC Windows	10hz	4.135
Discrete	20	12 SPC Windows	10hz	3.954
Discrete	20	12 SPC Windows	10hz	7.087
Discrete	20	12 SPC Windows	10hz	4.33
Discrete	20	12 SPC Windows	10hz	4.09
Discrete	20	12 SPC Windows	10hz	7.811
Discrete	20	12 SPC Windows	10hz	3.491
Discrete	20	12 SPC Windows	10hz	4.463
Discrete	20	12 SPC Windows	10hz	3.769
Discrete	20	12 SPC Windows	10hz	8.51
Discrete	20	12 SPC Windows	10hz	5.11
Discrete	20	12 SPC Windows	10hz	4.087
Discrete	20	12 SPC Windows	10hz	7.993
Discrete	20	12 SPC Windows	10hz	5.494
Discrete	20	12 SPC Windows	10hz	4.28
Discrete	20	12 SPC Windows	10hz	8.127
Discrete	20	12 SPC Windows	10hz	5.371
Discrete	20	12 SPC Windows	10hz	6.852
Discrete	20	12 SPC Windows	10hz	4.883
Discrete	20	12 SPC Windows	10hz	5.627
Discrete	20	12 SPC Windows	10hz	9.634
Discrete	20	12 SPC Windows	10hz	4.663
Discrete	20	12 SPC Windows	10hz	6.014
Discrete	20	12 SPC Windows	10hz	7.472
Discrete	20	12 SPC Windows	10hz	5.359
Discrete	20	12 SPC Windows	10hz	6.018
Discrete	20	12 SPC Windows	10hz	5.304
Discrete	20	12 SPC Windows	10hz	9.611
Discrete	20	12 SPC Windows	10hz	4.539
Discrete	20	12 SPC Windows	10hz	10.111
Discrete	20	12 SPC Windows	10hz	6.341
Discrete	20	12 SPC Windows	10hz	5.2
Discrete	20	12 SPC Windows	10hz	10.096
Discrete	20	12 SPC Windows	10hz	6.692
Discrete	20	12 SPC Windows	10hz	6.812
Discrete	20	12 SPC Windows	10hz	9.994
Discrete	20	12 SPC Windows	10hz	5.312
Discrete	20	12 SPC Windows	10hz	10.051
Discrete	20	12 SPC Windows	10hz	5.906
Discrete	20	12 SPC Windows	10hz	9.376
Discrete	20	12 SPC Windows	10hz	7.519
Discrete	20	12 SPC Windows	10hz	10.554
Discrete	20	12 SPC Windows	10hz	6.821
Discrete	20	12 SPC Windows	10hz	10.25
Discrete	20	12 SPC Windows	10hz	8.322
Discrete	20	12 SPC Windows	10hz	8.061
Discrete	20	12 SPC Windows	10hz	5.199
Discrete	20	12 SPC Windows	10hz	5.301
Discrete	20	12 SPC Windows	10hz	7.119
Discrete	20	12 SPC Windows	10hz	5.931
Discrete	20	12 SPC Windows	10hz	6.203
Discrete	20	12 SPC Windows	10hz	6.439
Discrete	20	12 SPC Windows	10hz	5.778
Discrete	20	12 SPC Windows	10hz	7.282
Discrete	20	12 SPC Windows	10hz	7.145
Discrete	20	12 SPC Windows	10hz	11.06
Discrete	20	12 SPC Windows	10hz	9.184
Discrete	20	12 SPC Windows	10hz	7.152
Discrete	20	12 SPC Windows	10hz	6.642
Discrete	20	12 SPC Windows	10hz	16.428
Discrete	20	12 SPC Windows	10hz	9.026
Discrete	20	12 SPC Windows	10hz	5.257
Discrete	20	12 SPC Windows	10hz	9.338
Discrete	20	12 SPC Windows	10hz	6.609
Discrete	20	12 SPC Windows	10hz	9.36
Discrete	20	12 SPC Windows	10hz	5.605
Discrete	20	12 SPC Windows	10hz	10.047
Discrete	20	12 SPC Windows	10hz	6.62
Discrete	20	12 SPC Windows	10hz	9.204
Discrete	20	12 SPC Windows	10hz	6.719
Discrete	20	12 SPC Windows	10hz	9.516
Discrete	20	12 SPC Windows	10hz	6.3
Discrete	20	12 SPC Windows	10hz	10.947
Discrete	20	12 SPC Windows	10hz	6.02
Discrete	20	12 SPC Windows	10hz	6.346
Discrete	20	12 SPC Windows	10hz	5.968
Discrete	20	12 SPC Windows	10hz	8.496
Discrete	20	12 SPC Windows	10hz	6.29
Discrete	20	12 SPC Windows	10hz	6.302
Discrete	20	12 SPC Windows	10hz	9.797
Discrete	20	12 SPC Windows	10hz	6.335
Discrete	20	12 SPC Windows	10hz	9.656
