=== TCP1 - Processing Speed Tracker - Discrete Samples ===
Rolling Type	Sample	Parameters#	Regime	LapsedTime
----------------------------------------------------------
Discrete	20	8 + 1 VPlot	10hz	2.151
Discrete	20	8 + 1 VPlot	10hz	0.929
Discrete	20	8 + 1 VPlot	10hz	1.682
Discrete	20	8 + 1 VPlot	10hz	2.874
Discrete	20	8 + 1 VPlot	10hz	2.8
Discrete	20	8 + 1 VPlot	10hz	2.098
Discrete	20	8 + 1 VPlot	10hz	2.392
Discrete	20	8 + 1 VPlot	10hz	6.723
Discrete	20	8 + 1 VPlot	10hz	2.335
Discrete	20	8 + 1 VPlot	10hz	2.925
Discrete	20	8 + 1 VPlot	10hz	6.464
Discrete	20	8 + 1 VPlot	10hz	3.144
Discrete	20	8 + 1 VPlot	10hz	2.957
Discrete	20	8 + 1 VPlot	10hz	5.483
Discrete	20	8 + 1 VPlot	10hz	3.856
Discrete	20	8 + 1 VPlot	10hz	2.931
Discrete	20	8 + 1 VPlot	10hz	6.344
Discrete	20	8 + 1 VPlot	10hz	2.313
Discrete	20	8 + 1 VPlot	10hz	2.892
Discrete	20	8 + 1 VPlot	10hz	4.303
Discrete	20	8 + 1 VPlot	10hz	2.745
Discrete	20	8 + 1 VPlot	10hz	3.981
Discrete	20	8 + 1 VPlot	10hz	10.88
Discrete	20	8 + 1 VPlot	10hz	7.087
Discrete	20	8 + 1 VPlot	10hz	3.262
Discrete	20	8 + 1 VPlot	10hz	2.739
Discrete	20	8 + 1 VPlot	10hz	5.897
Discrete	20	8 + 1 VPlot	10hz	3.199
Discrete	20	8 + 1 VPlot	10hz	3.597
Discrete	20	8 + 1 VPlot	10hz	3.842
Discrete	20	8 + 1 VPlot	10hz	3.879
Discrete	20	8 + 1 VPlot	10hz	14.194
Discrete	20	8 + 1 VPlot	10hz	4.985
Discrete	20	8 + 1 VPlot	10hz	2.86
Discrete	20	8 + 1 VPlot	10hz	5.941
Discrete	20	8 + 1 VPlot	10hz	3.988
Discrete	20	8 + 1 VPlot	10hz	3.016
Discrete	20	8 + 1 VPlot	10hz	9.012
Discrete	20	8 + 1 VPlot	10hz	6.73
Discrete	20	8 + 1 VPlot	10hz	3.813
Discrete	20	8 + 1 VPlot	10hz	10.69
Discrete	20	8 + 1 VPlot	10hz	2.211
Discrete	20	8 + 1 VPlot	10hz	2.374
Discrete	20	8 + 1 VPlot	10hz	3.588
Discrete	20	8 + 1 VPlot	10hz	3.899
Discrete	20	8 + 1 VPlot	10hz	4.093
Discrete	20	8 + 1 VPlot	10hz	13.666
Discrete	20	8 + 1 VPlot	10hz	2.662
Discrete	20	8 + 1 VPlot	10hz	6.515
Discrete	20	8 + 1 VPlot	10hz	3.895
Discrete	20	8 + 1 VPlot	10hz	6.044
Discrete	20	8 + 1 VPlot	10hz	3.346
Discrete	20	8 + 1 VPlot	10hz	6.999
Discrete	20	8 + 1 VPlot	10hz	3.144
Discrete	20	8 + 1 VPlot	10hz	6.198
Discrete	20	8 + 1 VPlot	10hz	3.977
Discrete	20	8 + 1 VPlot	10hz	6.91
Discrete	20	8 + 1 VPlot	10hz	3.353
Discrete	20	8 + 1 VPlot	10hz	7.119
Discrete	20	8 + 1 VPlot	10hz	3.917
Discrete	20	8 + 1 VPlot	10hz	5.866
Discrete	20	8 + 1 VPlot	10hz	3.979
Discrete	20	8 + 1 VPlot	10hz	6.055
Discrete	20	8 + 1 VPlot	10hz	3.778
Discrete	20	8 + 1 VPlot	10hz	6.047
Discrete	20	8 + 1 VPlot	10hz	3.244
Discrete	20	8 + 1 VPlot	10hz	6.922
Discrete	20	8 + 1 VPlot	10hz	2.446
Discrete	20	8 + 1 VPlot	10hz	2.918
Discrete	20	8 + 1 VPlot	10hz	3.734
Discrete	20	8 + 1 VPlot	10hz	3.735
Discrete	20	8 + 1 VPlot	10hz	4.505
Discrete	20	8 + 1 VPlot	10hz	3.289
Discrete	20	8 + 1 VPlot	10hz	3.47
Discrete	20	8 + 1 VPlot	10hz	4.191
Discrete	20	8 + 1 VPlot	10hz	2.92
Discrete	20	8 + 1 VPlot	10hz	6.115
Discrete	20	8 + 1 VPlot	10hz	3.94
Discrete	20	8 + 1 VPlot	10hz	4.872
Discrete	20	8 + 1 VPlot	10hz	4.242
Discrete	20	8 + 1 VPlot	10hz	3.809
Discrete	20	8 + 1 VPlot	10hz	2.815
Discrete	20	8 + 1 VPlot	10hz	5.497
Discrete	20	8 + 1 VPlot	10hz	3.853
Discrete	20	8 + 1 VPlot	10hz	6.468
Discrete	20	8 + 1 VPlot	10hz	3.059
Discrete	20	8 + 1 VPlot	10hz	3.514
Discrete	20	8 + 1 VPlot	10hz	5.833
Discrete	20	8 + 1 VPlot	10hz	3.018
Discrete	20	8 + 1 VPlot	10hz	3.454
Discrete	20	8 + 1 VPlot	10hz	3.429
Discrete	20	8 + 1 VPlot	10hz	4.862
Discrete	20	8 + 1 VPlot	10hz	3.822
Discrete	20	8 + 1 VPlot	10hz	8.322
Discrete	20	8 + 1 VPlot	10hz	3.726
Discrete	20	8 + 1 VPlot	10hz	12.294
Discrete	20	8 + 1 VPlot	10hz	15.269
Discrete	20	8 + 1 VPlot	10hz	4.461
Discrete	20	8 + 1 VPlot	10hz	3.479
Discrete	20	8 + 1 VPlot	10hz	7.812
Discrete	20	8 + 1 VPlot	10hz	4.671
Discrete	20	8 + 1 VPlot	10hz	3.685
Discrete	20	8 + 1 VPlot	10hz	4.151
