=== TCP1 - Processing Speed Tracker - Domino Samples ===
Rolling Type	Sample	Parameters#	Regime	LapsedTime
----------------------------------------------------------
Domino	20	10 + 2 VPlots	05hz	1.306
Domino	20	10 + 2 VPlots	05hz	1.74
Domino	20	10 + 2 VPlots	05hz	2.864
Domino	20	10 + 2 VPlots	05hz	7.782
Domino	20	10 + 2 VPlots	05hz	5.546
Domino	20	10 + 2 VPlots	05hz	3.8
Domino	20	10 + 2 VPlots	05hz	2.51
Domino	20	10 + 2 VPlots	05hz	1.485
Domino	20	10 + 2 VPlots	05hz	5.823
Domino	20	10 + 2 VPlots	05hz	4.83
Domino	20	10 + 2 VPlots	05hz	1.635
Domino	20	10 + 2 VPlots	05hz	10.418
Domino	20	10 + 2 VPlots	05hz	1.287
Domino	20	10 + 2 VPlots	05hz	2.161
Domino	20	10 + 2 VPlots	05hz	8.251
Domino	20	10 + 2 VPlots	05hz	5.102
Domino	20	10 + 2 VPlots	05hz	1.723
Domino	20	10 + 2 VPlots	05hz	0.703
Domino	20	10 + 2 VPlots	05hz	1.046
Domino	20	10 + 2 VPlots	05hz	0.876
Domino	20	10 + 2 VPlots	05hz	2.836
Domino	20	10 + 2 VPlots	05hz	8.365
Domino	20	10 + 2 VPlots	05hz	6.239
Domino	20	10 + 2 VPlots	05hz	34.91
Domino	20	10 + 2 VPlots	05hz	5.593
Domino	20	10 + 2 VPlots	05hz	9.957
Domino	20	10 + 2 VPlots	05hz	9.864
Domino	20	10 + 2 VPlots	05hz	7.902
Domino	20	10 + 2 VPlots	05hz	6.431
Domino	20	10 + 2 VPlots	05hz	9.451
Domino	20	10 + 2 VPlots	05hz	7.321
Domino	20	10 + 2 VPlots	05hz	14.203
Domino	20	10 + 2 VPlots	05hz	7.062
Domino	20	10 + 2 VPlots	05hz	12.098
Domino	20	10 + 2 VPlots	05hz	8.027
Domino	20	10 + 2 VPlots	05hz	8.508
Domino	20	10 + 2 VPlots	05hz	16.002
Domino	20	10 + 2 VPlots	05hz	17.037
Domino	20	10 + 2 VPlots	05hz	4.605
Domino	20	10 + 2 VPlots	05hz	10.907
Domino	20	10 + 2 VPlots	05hz	6.759
Domino	20	10 + 2 VPlots	05hz	5.718
Domino	20	10 + 2 VPlots	05hz	15.519
Domino	20	10 + 2 VPlots	05hz	9.902
Domino	20	10 + 2 VPlots	05hz	12.387
Domino	20	10 + 2 VPlots	05hz	8.089
Domino	20	10 + 2 VPlots	05hz	8.802
Domino	20	10 + 2 VPlots	05hz	5.237
Domino	20	10 + 2 VPlots	05hz	7.849
Domino	20	10 + 2 VPlots	05hz	8.476
Domino	20	10 + 2 VPlots	05hz	7.782
Domino	20	10 + 2 VPlots	05hz	8.525
Domino	20	10 + 2 VPlots	05hz	9.369
Domino	20	10 + 2 VPlots	05hz	6.969
Domino	20	10 + 2 VPlots	05hz	8.07
Domino	20	10 + 2 VPlots	05hz	7.419
Domino	20	10 + 2 VPlots	05hz	7.11
Domino	20	10 + 2 VPlots	05hz	13.757
Domino	20	10 + 2 VPlots	05hz	8.502
Domino	20	10 + 2 VPlots	05hz	15.42
Domino	20	10 + 2 VPlots	05hz	6.888
Domino	20	10 + 2 VPlots	05hz	3.693
Domino	20	10 + 2 VPlots	05hz	7.961
Domino	20	10 + 2 VPlots	05hz	7.808
Domino	20	10 + 2 VPlots	05hz	27.365
Domino	20	10 + 2 VPlots	05hz	8.241
Domino	20	10 + 2 VPlots	05hz	9.322
Domino	20	10 + 2 VPlots	05hz	6.075
Domino	20	10 + 2 VPlots	05hz	19.665
Domino	20	10 + 2 VPlots	05hz	10.174
Domino	20	10 + 2 VPlots	05hz	4.582
Domino	20	10 + 2 VPlots	05hz	16.725
Domino	20	10 + 2 VPlots	05hz	6.819
Domino	20	10 + 2 VPlots	05hz	6.488
Domino	20	10 + 2 VPlots	05hz	9.651
Domino	20	10 + 2 VPlots	05hz	10.13
Domino	20	10 + 2 VPlots	05hz	5.752
Domino	20	10 + 2 VPlots	05hz	10.211
Domino	20	10 + 2 VPlots	05hz	9.046
Domino	20	10 + 2 VPlots	05hz	7.182
Domino	20	10 + 2 VPlots	05hz	14.606
Domino	20	10 + 2 VPlots	05hz	7.516
Domino	20	10 + 2 VPlots	05hz	12.117
Domino	20	10 + 2 VPlots	05hz	5.274
Domino	20	10 + 2 VPlots	05hz	5.418
Domino	20	10 + 2 VPlots	05hz	11.115
Domino	20	10 + 2 VPlots	05hz	13.829
Domino	20	10 + 2 VPlots	05hz	4.733
Domino	20	10 + 2 VPlots	05hz	6.011
Domino	20	10 + 2 VPlots	05hz	6.352
Domino	20	10 + 2 VPlots	05hz	4.114
Domino	20	10 + 2 VPlots	05hz	14.985
Domino	20	10 + 2 VPlots	05hz	18.49
Domino	20	10 + 2 VPlots	05hz	12.82
Domino	20	10 + 2 VPlots	05hz	5.073
Domino	20	10 + 2 VPlots	05hz	6.161
Domino	20	10 + 2 VPlots	05hz	6.376
Domino	20	10 + 2 VPlots	05hz	8.84
Domino	20	10 + 2 VPlots	05hz	9.778
Domino	20	10 + 2 VPlots	05hz	15.294
Domino	20	10 + 2 VPlots	05hz	5.24
Domino	20	10 + 2 VPlots	05hz	9.732
Domino	20	10 + 2 VPlots	05hz	10.608
Domino	20	10 + 2 VPlots	05hz	4.776
Domino	20	10 + 2 VPlots	05hz	11.213
Domino	20	10 + 2 VPlots	05hz	13.749
Domino	20	10 + 2 VPlots	05hz	6.8
Domino	20	10 + 2 VPlots	05hz	9.23
Domino	20	10 + 2 VPlots	05hz	6.828
Domino	20	10 + 2 VPlots	05hz	5.191
Domino	20	10 + 2 VPlots	05hz	10.96
Domino	20	10 + 2 VPlots	05hz	10.228
Domino	20	10 + 2 VPlots	05hz	4.784
Domino	20	10 + 2 VPlots	05hz	5.188
Domino	20	10 + 2 VPlots	05hz	7.225
Domino	20	10 + 2 VPlots	05hz	8.893
Domino	20	10 + 2 VPlots	05hz	6.953
Domino	20	10 + 2 VPlots	05hz	4.916
Domino	20	10 + 2 VPlots	05hz	9.912
Domino	20	10 + 2 VPlots	05hz	12.481
Domino	20	10 + 2 VPlots	05hz	7.921
Domino	20	10 + 2 VPlots	05hz	7.43
Domino	20	10 + 2 VPlots	05hz	8.848
Domino	20	10 + 2 VPlots	05hz	14.587
Domino	20	10 + 2 VPlots	05hz	7.847
Domino	20	10 + 2 VPlots	05hz	9.428
Domino	20	10 + 2 VPlots	05hz	8.207
Domino	20	10 + 2 VPlots	05hz	4.922
Domino	20	10 + 2 VPlots	05hz	11.592
Domino	20	10 + 2 VPlots	05hz	6.851
Domino	20	10 + 2 VPlots	05hz	8.838
Domino	20	10 + 2 VPlots	05hz	7.326
Domino	20	10 + 2 VPlots	05hz	3.784
Domino	20	10 + 2 VPlots	05hz	8.383
Domino	20	8 + 2 VPlot	05hz	1.24
Domino	20	8 + 2 VPlot	05hz	1.188
