================================= TCP01 - Realtime Index Tracker =============================
Time		Layer#	T1Row	T2Row	T3Row	T4Row	T5Row	T6Row	T7Row	T8Row	EstPos
----------------------------------------------------------------------------------------------
15:11.18	1	2	2	2	2	2	2	2	2	0
15:11.28	1	3	3	3	3	3	3	3	3	50901.11
15:11.33	2	4	4	4	4	4	4	4	4	-415.51
15:11.40	2	5	5	5	5	5	5	5	5	12.5
15:11.44	2	6	6	6	6	6	6	6	6	670.03
15:11.48	2	7	7	7	7	7	7	7	7	1324.53
15:11.51	2	8	8	8	8	8	8	8	8	1984.18
15:12.00	2	9	9	9	9	9	9	9	9	2633.58
15:12.04	2	10	10	10	10	10	10	10	10	3288.07
15:12.19	2	11	11	11	11	11	11	11	11	3946.44
15:12.23	2	12	12	12	12	12	12	12	12	4600.55
15:12.31	2	13	13	13	13	13	13	13	13	5255.08
15:12.36	2	14	14	14	14	14	14	14	14	5907.88
15:12.40	2	15	15	15	15	15	15	15	15	6560.72
15:12.47	2	16	16	16	16	16	16	16	16	7215.24
15:12.51	2	17	17	17	17	17	17	17	17	7869.76
15:12.56	2	18	18	18	18	18	18	18	18	8524.26
15:13.02	2	19	19	19	19	19	19	19	19	9180.48
15:13.06	2	20	20	20	20	20	20	20	20	9843.53
15:13.10	2	21	21	21	21	21	21	21	21	10499.75
15:13.15	2	22	22	22	22	22	22	22	22	11149.15
15:13.22	2	23	23	23	23	23	23	23	23	11801.93
